Chunk	Chunk Root	Chunk Dep	Chunk Head
these birds	birds	pobj	of
The adults	adults	nsubj	shedding
their brilliant scarlet patches	patches	dobj	shedding
their skins	skins	nsubj	bristling
pin feathers	feathers	pobj	with
the whitish plumage	plumage	pobj	in
the first year	year	pobj	of
Mr. Priour	Priour	pobj	to
the Spoonbill	Spoonbill	nsubj	attains
its maximum plumage development	development	dobj	attains
January	January	pobj	in
he	he	nsubj	was
a second moult	moult	pobj	to
December	December	pobj	in
a wearing	wearing	attr	is
the tips	tips	pobj	of
the feathers	feathers	pobj	of
Agelaius	Agelaius	pobj	in
other birds	birds	conj	Agelaius
The Spoonbills	Spoonbills	nsubj	leave
the vicinity	vicinity	dobj	leave
Corpus Christi	Christi	pobj	of
February	February	pobj	of
a few stragglers	stragglers	nsubj	remain
none	none	nsubjpass	known
the Texas coast	coast	pobj	on
late years	years	pobj	of
This state	state	nsubj	is
affairs	affairs	pobj	of
their persecution	persecution	pobj	to
the destruction	destruction	pobj	to
the forests	forests	pobj	of
Corjus Christi	Christi	pobj	between
Brownsville	Brownsville	conj	Christi
the river mouths	mouths	pobj	nearer
this formerly abundant species	species	dative	affording
suitable rookery sites	sites	dobj	affording
It	It	nsubj	is
the flock	flock	pobj	of
birds	birds	pobj	of
Nueces Bay	Bay	pobj	on
the coast	coast	pobj	on
Brownsville	Brownsville	pobj	of
comparative safety	safety	pobj	in
they	they	nsubj	return
this spot	spot	pobj	to
the summer and early winter months	months	dobj	spend
considerable numbers	numbers	pobj	in
the latter part	part	pobj	as
April	April	pobj	of
their maximum numbers	numbers	dobj	attaining
the latter part	part	pobj	in
May.	May.	pobj	of
Their evident attachment	attachment	nsubj	be
the vicinity	vicinity	pobj	to
Nueces Bay	Bay	pobj	of
the facilities	facilities	pobj	to
it	it	nsubj	affords
them	them	dobj	affords
the great item	item	pobj	in
food supply	supply	pobj	of
the reception	reception	nsubj	is
these birds	birds	dobj	accorded
Corpus Christi gunners	gunners	pobj	by
"13.
Botaurus"	Botaurus	attr	"
"
Least Bittern	Bittern	appos	Botaurus
this bird	bird	nsubjpass	overlooked
former observers	observers	pobj	by
I	I	nsubj	conceive
the marshes	marshes	pobj	in
Nueces Bay	Bay	pobj	of
them	them	pobj	of
distended ovaries	ovaries	pobj	with
Ardea herodias Linn	Linn	appos	14
Ardea egretta GmeL American Egret	Egret	appos	15
Merrill	Merrill	nsubj	found
Sennet	Sennet	conj	Merrill
a lagoon heronry	heronry	pobj	in
the Rio Granie	Granie	pobj	on
Ardea tricolor ruficoUis Gosse	Gosse	appos	16
these birds	birds	pobj	of
the reeds	reeds	pobj	among
the mouth	mouth	pobj	at
the Nueces River	River	pobj	of
Ardea virescens Linn Green Heron	Heron	appos	17
"
Night Heron"	Heron	ROOT	Heron
Immense numbers	numbers	nsubjpass	found
this species	species	pobj	of
the tali brake	brake	pobj	in
the Nueces River mouth	mouth	pobj	at
The flocks	flocks	nsubjpass	composed
every stage	stage	pobj	in
plumage	plumage	pobj	of
some distant rookery	rookery	pobj	from
no signs	signs	nsubjpass	found
nests	nests	pobj	of
the immediate vicinity	vicinity	pobj	in
Aud	Aud	appos	elegans
A rail	rail	nsubjpass	flushed
this species	species	pobj	of
the peninsular marsh	marsh	pobj	in
the city	city	pobj	near
I	I	nsubj	failed
it	it	dobj	secure
Avocet	Avocet	attr	"
"
Pairs	Pairs	nsubjpass	seen
scattered individuals	individuals	conj	Pairs
my stay	stay	pobj	throughout
Mr. Priour	Priour	nsubj	states
they	they	nsubj	breed
the vicinity	vicinity	pobj	in
Blacknecked Stilt	Stilt	appos	Miill
This clamorous and uneasy bird	bird	nsubj	breeds
suitable places	places	pobj	in
Corpus Christi	Christi	pobj	near
Nests	Nests	nsubjpass	found
eggs	eggs	pobj	with
